GeneA,GeneB,Direction,Sign
YFR014C,YGL207W,1,0
YNL298W,YHR107C,1,0
YBR160W,YLR223C,1,0
YIL095W,YPR152C,1,0
YBR160W,YOR178C,1,0
YPL203W,YGL180W,1,0
YPL026C,YDL153C,1,0
YPL141C,YNL246W,1,0
YGL158W,YIL070C,1,0
YMR001C,YLR272C,1,0
YFR014C,YGR130C,1,0
YER123W,YMR036C,1,0
YHR135C,YLR323C,1,0
YBR160W,YKR090W,1,0
YDR477W,YNL227C,1,0
YJL164C,YKR022C,1,0
YOL128C,YOL016C,1,0
YJL106W,YJR094C,1,0
YPL031C,YER036C,1,0
YJL106W,YDL236W,1,0
YPL026C,YHR139C,1,0
YJR059W,YIL074C,1,0
YCR073C,YJL108C,1,0
YDR477W,YGL208W,1,0
YLR248W,YNL074C,1,0
YHR079C,YGL245W,1,0
YDL101C,YHR067W,1,0
YJL187C,YLL028W,1,0
YDR477W,YMR205C,1,0
YHR135C,YPL071C,1,0
YKL166C,YPL232W,1,0
YJR059W,YBR108W,1,0
YBR160W,YHR166C,1,0
YJL164C,YDR113C,1,0
YDR477W,YDL070W,1,0
YPL031C,YPL118W,1,0
YBR160W,YLR079W,1,0
YMR216C,YLR150W,1,0
YGL180W,YNL245C,1,0
YDL214C,YJL198W,1,0
YDR247W,YGR249W,1,0
YPL031C,YCL050C,1,0
YER129W,YER027C,1,0
YJL164C,YER098W,1,0
YJL164C,YBR130C,1,0
YLR113W,YCL032W,1,0
YJL164C,YGR129W,1,0
YPL209C,YOR335C,1,0
YPL042C,YDL005C,1,0
YCR073C,YHR157W,1,0
YPL203W,YOR347C,1,0
YBL016W,YNR050C,1,0
YJL095W,YMR295C,1,0
YJL106W,YDL220C,1,0
YPL031C,YGR252W,1,0
YPL031C,YER150W,1,0
YPL026C,YDR183W,1,0
YBR160W,YPL115C,1,0
YNL154C,YMR291W,1,0
YPL031C,YHR090C,1,0
YGL180W,YLR375W,1,0
YDL101C,YER064C,1,0
YPL031C,YPR135W,1,0
YNL154C,YMR144W,1,0
YHR079C,YMR046C,1,0
YFR014C,YJL148W,1,0
YDL017W,YDR052C,1,0
YPL031C,YER072W,1,0
YIL035C,YKL112W,1,0
YBL105C,YNL068C,1,0
YNL307C,YDR330W,1,0
YJR059W,YHR105W,1,0
YBL016W,YNL186W,1,0
YGL158W,YMR229C,1,0
YOL113W,YJR058C,1,0
YCR077C,YPL203W,1,0
YHR135C,YDL166C,1,0
YPL209C,YML042W,1,0
YGL180W,YPR137CA,1,0
YGR040W,YHR084W,1,0
YJR059W,YDR070C,1,0
YGL019W,YJR093C,1,0
YCR091W,YMR184W,1,0
YBR059C,YCR027C,1,0
YPL026C,YBL066C,1,0
YPL141C,YKR048C,1,0
YLR113W,YCL061C,1,0
YHR082C,YNL182C,1,0
YJL165C,YPR013C,1,0
YJL164C,YDR257C,1,0
YPL031C,YNL136W,1,0
YLR096W,YGR009C,1,0
YCR091W,YHR082C,1,0
