Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta0.75_mu0.050_omega2.0_seed122815_optimalForest.sif	118	2	116	1596	0	0.000000
prizes_beta0.75_mu0.080_omega4.0_seed122815_optimalForest.sif	47	2	45	1596	0	0.000000
prizes_beta0.75_mu0.075_omega10.0_seed122815_optimalForest.sif	56	1	55	1596	0	0.000000
prizes_beta0.75_mu0.090_omega1.5_seed122815_optimalForest.sif	47	2	45	1596	0	0.000000
prizes_beta0.75_mu0.085_omega5.0_seed122815_optimalForest.sif	45	2	43	1596	0	0.000000
prizes_beta0.75_mu0.075_omega3.5_seed122815_optimalForest.sif	54	2	52	1596	0	0.000000
prizes_beta0.75_mu0.085_omega1.5_seed122815_optimalForest.sif	45	2	43	1596	0	0.000000
prizes_beta0.75_mu0.085_omega6.0_seed122815_optimalForest.sif	46	2	44	1596	0	0.000000
prizes_beta0.75_mu0.075_omega8.5_seed122815_optimalForest.sif	56	2	54	1596	0	0.000000
prizes_beta0.75_mu0.080_omega9.0_seed122815_optimalForest.sif	47	2	45	1596	0	0.000000
prizes_beta1.00_mu0.005_omega1.5_seed122815_optimalForest.sif	277	5	272	1596	0	0.000000
prizes_beta1.00_mu0.025_omega5.0_seed122815_optimalForest.sif	232	5	227	1596	0	0.000000
prizes_beta1.00_mu0.015_omega0.5_seed122815_optimalForest.sif	248	5	243	1596	0	0.000000
prizes_beta1.00_mu0.050_omega9.5_seed122815_optimalForest.sif	187	3	184	1596	0	0.000000
prizes_beta1.00_mu0.055_omega1.0_seed122815_optimalForest.sif	176	3	173	1596	0	0.000000
prizes_beta1.00_mu0.025_omega4.0_seed122815_optimalForest.sif	232	5	227	1596	0	0.000000
prizes_beta1.00_mu0.060_omega1.0_seed122815_optimalForest.sif	173	3	170	1596	0	0.000000
prizes_beta1.00_mu0.005_omega8.0_seed122815_optimalForest.sif	277	5	272	1596	0	0.000000
prizes_beta1.00_mu0.015_omega3.0_seed122815_optimalForest.sif	248	5	243	1596	0	0.000000
prizes_beta1.00_mu0.035_omega3.5_seed122815_optimalForest.sif	212	5	207	1596	0	0.000000
prizes_beta1.00_mu0.010_omega2.5_seed122815_optimalForest.sif	265	5	260	1596	0	0.000000
prizes_beta1.00_mu0.065_omega6.0_seed122815_optimalForest.sif	168	3	165	1596	0	0.000000
prizes_beta1.00_mu0.065_omega8.5_seed122815_optimalForest.sif	168	3	165	1596	0	0.000000
prizes_beta1.00_mu0.035_omega4.0_seed122815_optimalForest.sif	212	5	207	1596	0	0.000000
prizes_beta1.00_mu0.070_omega3.0_seed122815_optimalForest.sif	167	3	164	1596	0	0.000000
prizes_beta1.00_mu0.020_omega7.0_seed122815_optimalForest.sif	243	7	236	1596	0	0.000000
prizes_beta1.00_mu0.015_omega1.5_seed122815_optimalForest.sif	248	5	243	1596	0	0.000000
prizes_beta1.00_mu0.005_omega10.0_seed122815_optimalForest.sif	273	5	268	1596	0	0.000000
prizes_beta1.00_mu0.015_omega9.0_seed122815_optimalForest.sif	248	5	243	1596	0	0.000000
prizes_beta1.00_mu0.020_omega5.5_seed122815_optimalForest.sif	243	7	236	1596	0	0.000000
prizes_beta1.00_mu0.005_omega8.5_seed122815_optimalForest.sif	277	8	269	1596	0	0.000000
prizes_beta1.00_mu0.060_omega6.0_seed122815_optimalForest.sif	173	3	170	1596	0	0.000000
prizes_beta1.00_mu0.055_omega6.5_seed122815_optimalForest.sif	176	3	173	1596	0	0.000000
prizes_beta1.00_mu0.005_omega9.0_seed122815_optimalForest.sif	277	5	272	1596	0	0.000000
prizes_beta1.00_mu0.040_omega3.5_seed122815_optimalForest.sif	195	3	192	1596	0	0.000000
prizes_beta1.00_mu0.065_omega4.0_seed122815_optimalForest.sif	168	3	165	1596	0	0.000000
prizes_beta1.00_mu0.010_omega9.0_seed122815_optimalForest.sif	265	5	260	1596	0	0.000000
prizes_beta1.00_mu0.065_omega10.0_seed122815_optimalForest.sif	168	3	165	1596	0	0.000000
prizes_beta1.00_mu0.040_omega6.0_seed122815_optimalForest.sif	195	3	192	1596	0	0.000000
