Forest name	Forest size	Steiner nodes	Prizes in forest	Total prizes	UBC degree	UBC degree / forest size
prizes_beta1.75_mu0.095_omega4.5_seed291_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed292_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed293_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed294_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed295_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed296_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed297_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed298_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed299_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed29_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed2_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed300_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed301_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed302_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed303_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed304_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed305_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed306_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed307_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed308_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed309_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed30_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed310_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed311_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed312_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed313_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed314_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed315_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed316_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed317_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed318_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed319_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed31_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed320_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed321_optimalForest.sif	249	3	246	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed322_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed323_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed324_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed325_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed326_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed327_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed328_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed329_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed32_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed330_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed331_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed332_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed333_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed334_optimalForest.sif	249	3	246	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed335_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed336_optimalForest.sif	248	3	245	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed337_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed338_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed339_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed33_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed340_optimalForest.sif	246	3	243	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed341_optimalForest.sif	247	3	244	1596	0	0.000000
prizes_beta1.75_mu0.095_omega4.5_seed342_optimalForest.sif	248	3	245	1596	0	0.000000
