Edge	Weight	FractionOfOptimalForestsContaining
YFR014C (pd) YMR165C	0.5	0.0
YFR014C (pd) YMR173W	0.5	0.0
YFR014C (pd) YNL027W	0.5	0.0
YFR014C (pd) YNL121C	0.5	1.0
YFR014C (pd) YNL227C	0.5	0.0
YFR014C (pd) YNL267W	0.5	1.0
YFR014C (pd) YNL272C	0.5	0.0
YFR014C (pd) YOL148C	0.5	1.0
YFR014C (pd) YOR054C	0.5	0.0
YFR014C (pd) YOR092W	0.5	0.0
YFR014C (pd) YOR113W	0.5	0.0
YFR014C (pd) YOR123C	0.5	0.0
YFR014C (pd) YOR340C	0.5	0.0
YFR014C (pd) YPL133C	0.5	0.0
YFR014C (pd) YPL146C	0.5	0.0
YFR014C (pd) YPR083W	0.5	1.0
YFR014C (pd) YPR171W	0.5	0.0
YFR027W (pd) YDL003W	0.5	0.0
YFR027W (pd) YIL026C	0.5	1.0
YFR027W (pd) YMR076C	0.5	1.0
YFR028C (pd) YAL024C	0.5	0.0
YFR028C (pd) YBR060C	0.5	0.0
YFR028C (pd) YDL140C	0.5	0.0
YFR028C (pd) YDR146C	0.5	0.0
YFR028C (pd) YEL032W	0.5	0.0
YFR028C (pd) YGL003C	0.5	0.0
YFR028C (pd) YHR118C	0.5	0.0
YFR028C (pd) YJR053W	0.5	0.0
YFR028C (pd) YKL108W	0.5	0.0
YFR028C (pd) YLR182W	0.5	0.0
YFR028C (pd) YNL152W	0.5	0.0
YFR028C (pd) YOR058C	0.5	1.0
YFR028C (pd) YPL267W	0.5	0.0
YGL003C (pd) YDR451C	0.5	1.0
YGL003C (pd) YKL101W	0.5	1.0
YGL003C (pd) YPL267W	0.5	0.0
YGL035C (pp) YGR014W	0.5	0.0
YGL035C (pp) YPR075C	0.5	1.0
YGL058W (pd) YBL002W	0.5	0.0
YGL058W (pd) YDL020C	0.5	1.0
YGL180W (pd) YBL032W	0.5	1.0
YGL180W (pd) YBR086C	0.5	0.0
YGL180W (pd) YBR108W	0.5	0.0
YGL180W (pd) YBR130C	0.5	0.0
YGL180W (pd) YBR270C	0.5	1.0
YGL180W (pd) YCL014W	0.5	0.0
YGL180W (pd) YCL029C	0.5	0.0
YGL180W (pd) YDL013W	0.5	0.0
YGL180W (pd) YDL025C	0.5	0.0
YGL180W (pd) YDL051W	0.5	0.0
YGL180W (pd) YDL070W	0.5	0.0
YGL180W (pd) YDL115C	0.5	0.0
YGL180W (pd) YDL220C	0.5	0.0
YGL180W (pd) YDR037W	0.5	0.0
YGL180W (pd) YDR153C	0.5	1.0
YGL180W (pd) YDR169C	0.5	0.0
YGL180W (pd) YDR208W	0.5	1.0
YGL180W (pd) YDR239C	0.5	0.0
YGL180W (pd) YDR293C	0.5	0.0
YGL180W (pd) YDR330W	0.5	0.0
YGL180W (pd) YDR439W	0.5	0.0
YGL180W (pd) YEL017W	0.5	0.0
YGL180W (pd) YER122C	0.5	0.0
YGL180W (pd) YER125W	0.5	1.0
YGL180W (pd) YER127W	0.5	1.0
YGL180W (pd) YER131W	0.5	1.0
YGL180W (pd) YFL001W	0.5	0.0
YGL180W (pd) YFL034W	0.5	1.0
YGL180W (pd) YFR010W	0.5	0.0
YGL180W (pd) YFR024CA	0.5	1.0
YGL180W (pd) YFR029W	0.5	0.0
YGL180W (pd) YFR034C	0.5	0.0
YGL180W (pd) YGL190C	0.5	0.0
YGL180W (pd) YGL209W	0.5	0.0
YGL180W (pd) YGR126W	0.5	0.0
YGL180W (pd) YGR130C	0.5	0.0
YGL180W (pd) YGR159C	0.5	0.0
YGL180W (pd) YHL009C	0.5	1.0
YGL180W (pd) YHR009C	0.5	0.0
YGL180W (pd) YHR073W	0.5	1.0
YGL180W (pd) YHR090C	0.5	1.0
YGL180W (pd) YHR117W	0.5	0.0
YGL180W (pd) YIL091C	0.5	0.0
YGL180W (pd) YIL107C	0.5	0.0
YGL180W (pd) YIR003W	0.5	0.0
YGL180W (pd) YJL033W	0.5	1.0
YGL180W (pd) YJL084C	0.5	0.0
YGL180W (pd) YJR072C	0.5	0.0
YGL180W (pd) YJR089W	0.5	0.0
YGL180W (pd) YJR092W	0.5	0.0
YGL180W (pd) YKL042W	0.5	0.0
YGL180W (pd) YKL048C	0.5	0.0
YGL180W (pd) YKL121W	0.5	0.0
YGL180W (pd) YKL146W	0.5	0.0
YGL180W (pd) YKR048C	0.5	0.0
YGL180W (pd) YKR071C	0.5	1.0
YGL180W (pd) YKR092C	0.5	0.0
YGL180W (pd) YLL043W	0.5	0.0
YGL180W (pd) YLR003C	0.5	0.0
YGL180W (pd) YLR192C	0.5	1.0
YGL180W (pd) YLR257W	0.5	0.0
YGL180W (pd) YLR323C	0.5	1.0
YGL180W (pd) YLR350W	0.5	0.0
YGL180W (pd) YLR410W	0.5	1.0
YGL180W (pd) YLR429W	0.5	0.0
YGL180W (pd) YML007W	0.5	1.0
YGL180W (pd) YML062C	0.5	1.0
YGL180W (pd) YMR049C	0.5	0.0
YGL180W (pd) YMR140W	0.5	0.0
YGL180W (pd) YMR165C	0.5	0.0
YGL180W (pd) YMR173W	0.5	1.0
YGL180W (pd) YNL027W	0.5	0.0
YGL180W (pd) YNL149C	0.5	1.0
YGL180W (pd) YNL173C	0.5	0.0
YGL180W (pd) YNL227C	0.5	0.0
YGL180W (pd) YNL272C	0.5	0.0
YGL180W (pd) YNL293W	0.5	1.0
YGL180W (pd) YNL304W	0.5	0.0
YGL180W (pd) YOL070C	0.5	0.0
YGL180W (pd) YOL078W	0.5	1.0
YGL180W (pd) YOL123W	0.5	0.0
YGL180W (pd) YOL130W	0.5	1.0
YGL180W (pd) YOR054C	0.5	0.0
YGL180W (pd) YOR056C	0.5	0.0
YGL180W (pd) YOR083W	0.5	0.0
YGL180W (pd) YOR123C	0.5	1.0
YGL180W (pd) YOR204W	0.5	1.0
YGL180W (pd) YOR239W	0.5	1.0
YGL180W (pd) YOR340C	0.5	0.0
YGL180W (pd) YOR344C	0.5	1.0
YGL180W (pd) YPL133C	0.5	0.0
YGL180W (pd) YPL146C	0.5	1.0
YGL180W (pd) YPL181W	0.5	1.0
YGL180W (pd) YPL190C	0.5	0.0
YGL180W (pd) YPR019W	0.5	1.0
YGL180W (pd) YPR091C	0.5	0.0
YGL180W (pd) YPR115W	0.5	0.0
YGL180W (pd) YPR143W	0.5	1.0
YGL190C (pd) YMR036C	0.5	0.0
YGL209W (pp) YGR014W	0.5	0.0
YGL209W (pp) YPR075C	0.5	1.0
YGR092W (pd) YAL051W	0.5	1.0
YGR092W (pd) YBR038W	0.5	0.0
YGR092W (pd) YBR108W	0.5	0.0
YGR092W (pd) YBR118W	0.5	0.0
YGR092W (pd) YDL019C	0.5	0.0
YGR092W (pd) YDL070W	0.5	0.0
YGR092W (pd) YDL220C	0.5	0.0
YGR092W (pd) YDR226W	0.5	0.0
YGR092W (pd) YDR293C	0.5	0.0
YGR092W (pd) YDR299W	0.5	1.0
YGR092W (pd) YFR028C	0.5	0.0
YGR092W (pd) YHR182W	0.5	0.0
YGR092W (pd) YIL135C	0.5	0.0
YGR092W (pd) YJL076W	0.5	0.0
YGR092W (pd) YJR060W	0.5	1.0
YGR092W (pd) YKL140W	0.5	0.0
YGR092W (pd) YKL146W	0.5	0.0
YGR092W (pd) YKL168C	0.5	0.0
YGR092W (pd) YKR022C	0.5	0.0
YGR092W (pd) YML035C	0.5	0.0
YGR092W (pd) YMR032W	0.5	0.0
YGR092W (pd) YMR165C	0.5	0.0
YGR092W (pd) YMR196W	0.5	1.0
YGR092W (pd) YNL101W	0.5	0.0
YGR092W (pd) YNL155W	0.5	0.0
YGR092W (pd) YNL272C	0.5	0.0
YGR092W (pd) YNR047W	0.5	0.0
YGR092W (pd) YPL127C	0.5	0.0
YGR092W (pd) YPL150W	0.5	0.0
YGR092W (pd) YPR091C	0.5	0.0
YGR186W (pd) YDL140C	0.5	0.0
YHL007C (pd) YBL002W	0.5	1.0
YHL007C (pd) YBL085W	0.5	1.0
YHL007C (pd) YBR042C	0.5	1.0
YHL007C (pd) YBR086C	0.5	1.0
YHL007C (pd) YBR102C	0.5	0.0
